49;PAR_IMD_SOC1_T8;0724;IMD;Full_Mid_Low_10bits;37785636;;02409024
50;PAR_IMD_SOC2_T8;0728;IMD;Full_Mid_Low_10bits;75571272;;04812048
51;PAR_IMD_SOC3_T8;072C;IMD;Full_Mid_Low_10bits;112285782;;06B15856
52;PAR_IMD_SOC4_T8;0730;IMD;Full_Mid_Low_10bits;147951716;;08D19064
53;PAR_IMD_SOC5_T8;0734;IMD;Full_Mid_Low_10bits;295800932;;11A19064
54;PAR_IMD_SOC6_T8;0738;IMD;Full_Mid_Low_10bits;295800932;;11A19064
54;PAR_IMD_SOC0_T9;073C;IMD;Full_Mid_Low_10bits;19942419;;01304C13
55;PAR_IMD_SOC1_T9;0740;IMD;Full_Mid_Low_10bits;39884838;;02609826
56;PAR_IMD_SOC2_T9;0744;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
57;PAR_IMD_SOC3_T9;0748;IMD;Full_Mid_Low_10bits;118579288;;07116058
58;PAR_IMD_SOC4_T9;074C;IMD;Full_Mid_Low_10bits;157388900;;09619064
59;PAR_IMD_SOC5_T9;0750;IMD;Full_Mid_Low_10bits;314675300;;12C19064
60;PAR_IMD_SOC6_T9;0754;IMD;Full_Mid_Low_10bits;314675300;;12C19064
60;PAR_IMD_SOC0_T10;0758;IMD;Full_Mid_Low_10bits;19942419;;01304C13
61;PAR_IMD_SOC1_T10;075C;IMD;Full_Mid_Low_10bits;39884838;;02609826
62;PAR_IMD_SOC2_T10;0760;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
63;PAR_IMD_SOC3_T10;0764;IMD;Full_Mid_Low_10bits;118579288;;07116058
64;PAR_IMD_SOC4_T10;0768;IMD;Full_Mid_Low_10bits;157388900;;09619064
65;PAR_IMD_SOC5_T10;076C;IMD;Full_Mid_Low_10bits;314675300;;12C19064
66;PAR_IMD_SOC6_T10;0770;IMD;Full_Mid_Low_10bits;314675300;;12C19064
66;PAR_IMD_SOC0_T11;0774;IMD;Full_Mid_Low_10bits;19942419;;01304C13
67;PAR_IMD_SOC1_T11;0778;IMD;Full_Mid_Low_10bits;39884838;;02609826
68;PAR_IMD_SOC2_T11;077C;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
69;PAR_IMD_SOC3_T11;0780;IMD;Full_Mid_Low_10bits;118579288;;07116058
70;PAR_IMD_SOC4_T11;0784;IMD;Full_Mid_Low_10bits;157388900;;09619064
71;PAR_IMD_SOC5_T11;0788;IMD;Full_Mid_Low_10bits;314675300;;12C19064
72;PAR_IMD_SOC6_T11;078C;IMD;Full_Mid_Low_10bits;314675300;;12C19064
72;PAR_IMD_SOC0_T12;0790;IMD;Full_Mid_Low_10bits;19942419;;01304C13
73;PAR_IMD_SOC1_T12;0794;IMD;Full_Mid_Low_10bits;39884838;;02609826
74;PAR_IMD_SOC2_T12;0798;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
75;PAR_IMD_SOC3_T12;079C;IMD;Full_Mid_Low_10bits;118579288;;07116058
76;PAR_IMD_SOC4_T12;07A0;IMD;Full_Mid_Low_10bits;157388900;;09619064
77;PAR_IMD_SOC5_T12;07A4;IMD;Full_Mid_Low_10bits;314675300;;12C19064
78;PAR_IMD_SOC6_T12;07A8;IMD;Full_Mid_Low_10bits;314675300;;12C19064
78;PAR_IMD_SOC0_T13;07AC;IMD;Full_Mid_Low_10bits;19942419;;01304C13
79;PAR_IMD_SOC1_T13;07B0;IMD;Full_Mid_Low_10bits;39884838;;02609826
80;PAR_IMD_SOC2_T13;07B4;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
81;PAR_IMD_SOC3_T13;07B8;IMD;Full_Mid_Low_10bits;118579288;;07116058
82;PAR_IMD_SOC4_T13;07BC;IMD;Full_Mid_Low_10bits;157388900;;09619064
83;PAR_IMD_SOC5_T13;07C0;IMD;Full_Mid_Low_10bits;314675300;;12C19064
84;PAR_IMD_SOC6_T13;07C4;IMD;Full_Mid_Low_10bits;314675300;;12C19064
84;PAR_IMD_SOC0_T14;07C8;IMD;Full_Mid_Low_10bits;19942419;;01304C13
85;PAR_IMD_SOC1_T14;07CC;IMD;Full_Mid_Low_10bits;39884838;;02609826
86;PAR_IMD_SOC2_T14;07D0;IMD;Full_Mid_Low_10bits;78720075;;04B12C4B
87;PAR_IMD_SOC3_T14;07D4;IMD;Full_Mid_Low_10bits;118579288;;07116058
88;PAR_IMD_SOC4_T14;07D8;IMD;Full_Mid_Low_10bits;157388900;;09619064
89;PAR_IMD_SOC5_T14;07DC;IMD;Full_Mid_Low_10bits;314675300;;12C19064
90;PAR_IMD_SOC6_T14;07E0;IMD;Full_Mid_Low_10bits;314675300;;12C19064
